ANALISIS RISIKO MISGRADING PER CABANG,,,,,,,,,,,,,
"FORMULA:  [F] Total_Aggr = D+E  |  [G] Rate_Aggr% = F/B  |  [I] Total_Cons = G+H  |  [J] Rate_Cons% = I/B  |  [K] Status_Aggr: IF(G>5%,""URGENT"",IF(G>2%,""NEED TO MONITOR"",""NEUTRAL""))  |  [L] Status_Cons: sama",,,,,,,,,,,,,
Cabang,Total Transaksi,QC Aggressive,IA Aggressive,Total Aggressive,Rate Aggressive %,QC Conservative,IA Conservative,Total Conservative,Rate Conservative %,Status Aggressive,Status Conservative,Avg Misgrade Rate QC%,Avg Offload Loss QC%
Pejuang,819,49,13,62,7.57%,0,2,2,0.24%,URGENT,NEUTRAL,3.43%,-0.26%
Pademangan Barat,997,48,13,61,6.12%,0,2,2,0.20%,URGENT,NEUTRAL,2.59%,-0.30%
Pramuka Rawalumbu,759,48,4,52,6.85%,0,1,1,0.13%,URGENT,NEUTRAL,3.68%,-0.37%
Pondok Ungu,715,45,7,52,7.27%,0,8,8,1.12%,URGENT,NEUTRAL,3.69%,-0.48%
Zamrud Selatan,775,43,10,53,6.84%,0,3,3,0.39%,URGENT,NEUTRAL,3.20%,-0.30%
Mustika Jaya,664,42,4,46,6.93%,0,1,1,0.15%,URGENT,NEUTRAL,3.11%,-0.29%
Meruyung,432,41,3,44,10.19%,0,0,0,0.00%,URGENT,NEUTRAL,4.01%,-0.26%
Cut Mutia,625,41,2,43,6.88%,0,0,0,0.00%,URGENT,NEUTRAL,4.49%,-0.27%
Kramat Jaya,692,40,3,43,6.21%,0,1,1,0.14%,URGENT,NEUTRAL,1.63%,-0.10%
Sultan Agung,675,40,5,45,6.67%,0,0,0,0.00%,URGENT,NEUTRAL,4.51%,-0.50%
Pulo Gebang,621,39,6,45,7.25%,0,2,2,0.32%,URGENT,NEUTRAL,3.00%,-0.30%
Taman Kota,780,38,2,40,5.13%,0,0,0,0.00%,URGENT,NEUTRAL,4.17%,-0.38%
Kota Baru Bekasi,668,37,6,43,6.44%,0,0,0,0.00%,URGENT,NEUTRAL,2.71%,-0.23%
